"MacroTrends Data Download"
"NDAQ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2002-07-01,12.8626,12.8626,12.8626,12.8626,1300
2002-07-02,13.2913,14.1488,12.8626,12.9740,7000
2002-07-03,12.0051,13.7201,12.0051,12.8626,10200
2002-07-05,12.8626,12.8626,12.8626,12.8626,500
2002-07-08,12.0051,12.0051,12.0051,12.0051,300
2002-07-09,12.0051,13.2913,12.0051,13.2913,2300
2002-07-10,11.7907,13.2913,11.7907,13.2913,500
2002-07-11,13.2913,13.2913,13.2913,13.2913,0
2002-07-12,12.8626,12.8626,12.8626,12.8626,100
2002-07-15,12.6482,12.6482,10.7188,10.9332,42700
2002-07-16,10.9332,10.9332,10.7188,10.7188,5900
2002-07-17,10.7188,10.7188,10.5044,10.7188,2400
2002-07-18,10.5473,10.5473,10.0757,10.0757,1400
2002-07-19,9.9470,9.9470,8.6179,9.0038,10700
2002-07-22,9.0038,9.0038,8.5750,8.7465,4600
2002-07-23,8.7465,8.7465,8.7465,8.7465,100
2002-07-24,8.7465,9.0038,8.7465,9.0038,2200
2002-07-25,8.7037,9.0038,8.7037,8.7037,1300
2002-07-26,8.7037,8.7037,8.7037,8.7037,0
2002-07-29,9.0038,9.5183,8.9609,9.5183,4100
2002-07-30,9.6469,10.1614,9.6469,9.8613,8900
2002-07-31,10.2043,10.2900,10.0757,10.2900,5000
2002-08-01,10.1185,10.2043,10.1185,10.1185,4300
2002-08-02,10.1185,10.1185,10.1185,10.1185,0
2002-08-05,10.2043,10.2900,10.1614,10.1614,28600
2002-08-06,10.2900,10.2900,10.2900,10.2900,10000
2002-08-07,10.2729,10.3329,10.2472,10.3329,4400
2002-08-08,10.3758,10.3758,10.3329,10.3758,12300
2002-08-09,10.4187,10.4187,10.4187,10.4187,3400
2002-08-12,10.4187,10.4187,10.3758,10.4187,24400
2002-08-13,10.4615,10.4615,10.3758,10.4615,3900
2002-08-14,10.4187,10.4615,10.4187,10.4615,3700
2002-08-15,10.4187,10.4187,10.3758,10.3758,700
2002-08-16,10.2900,10.4187,10.2900,10.4187,8600
2002-08-19,10.4187,10.4187,9.9899,9.9899,8700
2002-08-20,9.9470,9.9470,9.9470,9.9470,100
2002-08-21,10.2043,10.2900,10.0757,10.0757,16400
2002-08-22,10.0757,10.0757,9.4325,9.4325,35500
2002-08-23,9.4325,9.5183,9.4325,9.5183,3700
2002-08-26,9.4325,9.4325,9.3039,9.3211,11900
2002-08-27,9.3039,9.4325,9.0124,9.0124,23900
2002-08-28,9.0038,9.0038,8.5750,8.6608,24700
2002-08-29,8.7465,8.7465,8.6608,8.7465,8500
2002-08-30,8.8323,8.8323,8.5750,8.5750,4200
2002-09-03,8.5322,8.5750,7.9748,8.4893,8000
2002-09-04,8.0177,8.1463,7.6318,7.9748,89100
2002-09-05,7.9748,7.9748,7.9748,7.9748,3100
2002-09-06,7.9748,8.3178,7.9748,8.3178,30400
2002-09-09,8.3607,8.4893,8.3178,8.4035,26000
2002-09-10,8.4893,8.5322,8.4207,8.4893,36200
2002-09-11,8.5750,8.6179,8.4893,8.6179,2400
2002-09-12,8.6608,8.6608,8.4893,8.4893,4000
2002-09-13,8.4893,8.5236,8.4893,8.5236,2800
2002-09-16,8.5236,8.5750,8.4464,8.5750,10300
2002-09-17,8.3607,8.4893,8.3607,8.4893,4800
2002-09-18,8.4636,8.4636,8.4636,8.4636,1500
2002-09-19,8.4035,8.4035,8.4035,8.4035,6200
2002-09-20,8.2749,8.2749,8.0605,8.0605,2700
2002-09-23,8.3607,8.3607,8.3178,8.3178,1200
2002-09-24,8.0605,8.0605,8.0605,8.0605,2000
2002-09-25,8.2320,8.3178,8.1463,8.2320,7000
2002-09-26,8.3178,8.3178,8.3178,8.3178,1000
2002-09-27,8.2320,8.2320,7.9748,8.1377,6200
2002-09-30,7.9748,8.0177,7.9748,8.0177,3100
2002-10-01,8.1463,8.1463,8.1463,8.1463,2000
2002-10-02,8.1463,8.1463,7.9748,8.1206,8700
2002-10-03,8.1892,8.1892,8.1892,8.1892,100
2002-10-04,8.1892,8.1892,8.1892,8.1892,500
2002-10-07,8.0605,8.1463,8.0605,8.1463,1000
2002-10-08,7.9748,7.9748,7.9319,7.9319,3200
2002-10-09,7.9319,7.9748,7.7175,7.7175,19100
2002-10-10,7.7175,7.7175,7.7175,7.7175,3000
2002-10-11,7.8033,7.8033,7.6747,7.7175,19900
2002-10-14,7.6747,7.7175,7.6318,7.7090,13500
2002-10-15,7.5460,7.5460,7.2459,7.4174,23600
2002-10-16,7.2459,7.2888,7.0744,7.1602,14700
2002-10-17,7.0401,7.1173,6.8600,7.0744,9900
2002-10-18,7.0744,7.0744,7.0744,7.0744,12400
2002-10-21,7.0744,7.0744,6.7743,6.9029,4200
2002-10-22,6.8600,6.9458,6.8600,6.8600,10900
2002-10-23,6.6885,6.6885,6.6028,6.6885,2100
2002-10-24,6.6028,6.6028,6.1740,6.2169,7500
2002-10-25,6.0025,6.1740,5.4452,6.1740,43700
2002-10-28,6.4313,6.4313,6.0025,6.0025,3200
2002-10-29,6.4313,6.6457,6.2598,6.6457,7700
2002-10-30,6.2598,6.5599,6.2169,6.4742,11400
2002-10-31,6.4742,6.4742,6.3884,6.4313,9000
2002-11-01,6.3027,6.4313,6.3027,6.4313,9200
2002-11-04,6.6028,6.6028,6.4313,6.4313,4400
2002-11-05,6.4313,6.4313,6.4313,6.4313,500
2002-11-06,6.5170,6.5170,6.5170,6.5170,300
2002-11-07,6.6028,6.6028,6.4313,6.4313,2700
2002-11-08,6.4313,6.4313,6.4313,6.4313,0
2002-11-11,6.6028,6.7743,6.5771,6.7743,11200
2002-11-12,6.7743,6.7743,6.7743,6.7743,5300
2002-11-13,6.7743,7.1859,6.7743,7.1859,38300
2002-11-14,7.1859,7.2459,7.1859,7.2459,5400
2002-11-15,7.2888,7.2888,7.2030,7.2030,3400
2002-11-18,7.2459,7.2888,7.2202,7.2888,12400
2002-11-19,7.2030,7.2030,7.0744,7.0916,4200
2002-11-20,7.2030,7.2030,7.2030,7.2030,500
2002-11-21,7.2030,7.2030,7.0401,7.2030,16600
2002-11-22,7.0658,7.2030,7.0658,7.2030,1200
2002-11-25,7.2030,7.2030,7.2030,7.2030,12800
2002-11-26,7.2030,8.0177,7.2030,7.9748,274000
2002-11-27,7.9756,8.5750,7.9756,8.5750,124800
2002-11-29,8.5750,9.4325,8.5750,8.5750,11700
2002-12-02,8.5750,8.7465,8.5750,8.7037,16700
2002-12-03,8.7037,8.7037,8.7037,8.7037,0
2002-12-04,8.6179,8.7894,8.6179,8.6179,2400
2002-12-05,8.6179,9.0038,8.6179,9.0038,3500
2002-12-06,8.9180,9.2182,8.9180,9.1753,126900
2002-12-09,9.0038,9.2182,8.9609,8.9609,25500
2002-12-10,9.1324,9.2182,9.0124,9.0895,2000
2002-12-11,9.0124,9.1324,9.0124,9.0895,4100
2002-12-12,9.1324,9.6040,9.1324,9.5183,7800
2002-12-13,9.3897,9.4754,9.2610,9.4325,5200
2002-12-16,9.6040,9.6040,9.4754,9.4754,8300
2002-12-17,9.4754,9.6040,9.4411,9.4411,4500
2002-12-18,9.4411,9.6040,9.4325,9.4754,6200
2002-12-19,9.4754,9.4754,9.0038,9.4754,28700
2002-12-20,9.0038,9.0038,9.0038,9.0038,1500
2002-12-23,9.1324,9.5183,9.1324,9.2610,4500
2002-12-24,9.2610,9.2610,9.2610,9.2610,0
2002-12-26,9.0467,9.0467,9.0038,9.0038,21000
2002-12-27,9.0038,9.0038,9.0038,9.0038,0
2002-12-30,9.2610,9.2610,9.0209,9.0209,4800
2002-12-31,9.2610,9.2610,8.5750,8.5750,32600
2003-01-02,8.5836,8.9609,8.5836,8.7894,3200
2003-01-03,8.7980,8.7980,8.7894,8.7894,600
2003-01-06,8.9609,8.9609,8.9180,8.9180,2700
2003-01-07,8.8323,8.8580,8.8323,8.8323,2000
2003-01-08,8.8323,8.8323,8.6265,8.7465,8400
2003-01-09,8.7037,8.8323,7.8890,8.1463,133100
2003-01-10,7.9319,8.3607,7.8033,7.9319,5100
2003-01-13,7.9319,8.5836,7.8462,8.5836,4300
2003-01-14,7.9319,7.9319,7.8047,7.8884,8900
2003-01-15,8.3607,8.4035,8.0605,8.4035,24100
2003-01-16,8.1463,8.4464,8.1463,8.3607,5500
2003-01-17,8.1463,8.1463,8.1463,8.1463,1400
2003-01-21,8.1463,8.3607,8.0605,8.1463,20400
2003-01-22,8.0177,8.0262,8.0177,8.0177,17000
2003-01-23,8.0177,8.0177,7.9319,7.9319,8700
2003-01-24,7.9319,7.9662,7.8890,7.8890,14500
2003-01-27,7.8890,7.9662,7.8890,7.9662,4900
2003-01-28,7.9748,7.9748,7.9662,7.9662,6300
2003-01-29,7.8976,7.8976,7.8890,7.8890,37100
2003-01-30,7.8119,7.8119,7.8033,7.8033,21500
2003-01-31,7.8033,7.9319,7.8033,7.8033,25000
2003-02-03,7.8033,7.9319,7.8033,7.8033,5800
2003-02-04,7.8033,7.8890,7.8033,7.8890,3200
2003-02-05,7.8033,7.8033,7.8033,7.8033,4400
2003-02-06,7.8033,7.8033,7.7861,7.7861,20100
2003-02-07,7.8033,7.8805,7.8033,7.8805,1800
2003-02-10,7.8890,7.8890,7.7175,7.7175,15300
2003-02-11,7.7175,7.7175,6.9458,6.9458,22600
2003-02-12,6.9887,7.1516,6.7743,6.7743,7300
2003-02-13,6.6028,6.8600,6.6028,6.8600,3800
2003-02-14,6.8600,6.8600,6.8600,6.8600,2200
2003-02-18,6.8600,6.8600,6.8600,6.8600,2400
2003-02-19,6.8600,6.9458,6.8172,6.9458,5100
2003-02-20,7.0744,7.0744,6.7743,6.8172,2500
2003-02-21,6.7743,6.8172,6.7743,6.8172,900
2003-02-24,6.8600,6.8600,6.7743,6.8600,1300
2003-02-25,6.6457,6.6457,6.6457,6.6457,200
2003-02-26,6.6628,6.6628,6.6628,6.6628,600
2003-02-27,6.6628,6.8172,6.6628,6.7743,7000
2003-02-28,6.6628,6.7571,6.6457,6.6457,2300
